Real	Imaginary	Radius	Angle [rad]
0.000	0.840	0.840	1.571
0.020	1.230	1.231	1.555
0.040	2.570	2.571	1.555
0.060	4.604	4.604	1.558
0.080	4.161	4.162	1.552
0.100	3.698	3.699	1.544
0.120	4.797	4.798	1.546
0.140	3.934	3.937	1.535
0.160	3.400	3.404	1.524
0.180	1.996	2.004	1.481
0.200	1.233	1.249	1.410
0.220	-0.476	0.524	-1.138
0.240	-2.133	2.147	-1.459
0.260	-1.439	1.462	-1.392
0.280	-4.356	4.365	-1.507
0.300	-3.968	3.979	-1.495
0.320	-5.119	5.129	-1.508
0.340	-3.720	3.735	-1.480
0.360	-5.087	5.099	-1.500
0.380	-5.384	5.397	-1.500
0.400	-3.197	3.222	-1.446
0.420	-4.184	4.205	-1.471
0.440	-2.453	2.492	-1.393
0.460	-0.370	0.590	-0.678
0.480	0.453	0.660	0.757
0.500	2.396	2.448	1.365
0.520	1.635	1.716	1.263
0.540	2.374	2.435	1.347
0.560	4.948	4.980	1.458
0.580	3.630	3.676	1.412
0.600	5.462	5.495	1.461
0.620	4.860	4.899	1.444
0.640	4.212	4.260	1.420
0.660	4.066	4.120	1.410
0.680	3.371	3.439	1.372
0.700	3.469	3.539	1.372
0.720	1.660	1.809	1.161
0.740	-1.920	2.057	-1.203
0.760	-0.207	0.788	-0.267
0.780	-2.962	3.063	-1.313
0.800	-4.225	4.300	-1.384
0.820	-3.566	3.659	-1.345
0.840	-4.723	4.797	-1.395
0.860	-5.229	5.299	-1.408
0.880	-4.340	4.429	-1.371
0.900	-3.731	3.838	-1.334
0.920	-2.995	3.133	-1.273
0.940	-2.300	2.485	-1.183
0.960	-1.229	1.560	-0.908
0.980	0.427	1.069	0.411
1.000	1.102	1.488	0.834
1.020	3.664	3.803	1.299
1.040	3.458	3.611	1.279
1.060	4.153	4.286	1.321
1.080	6.012	6.108	1.393
1.100	3.899	4.052	1.296
1.120	5.068	5.190	1.353
1.140	5.407	5.526	1.363
1.160	3.614	3.796	1.260
1.180	1.460	1.877	0.891
1.200	1.428	1.865	0.872
1.220	0.006	1.220	0.005
1.240	-0.803	1.477	-0.575
1.260	-1.150	1.706	-0.740
1.280	-2.714	3.001	-1.130
1.300	-4.019	4.224	-1.258
1.320	-4.539	4.727	-1.288
1.340	-2.948	3.239	-1.144
1.360	-4.884	5.070	-1.299
1.380	-4.455	4.664	-1.270
1.400	-5.674	5.844	-1.329
1.420	-2.511	2.885	-1.056
1.440	-3.045	3.368	-1.129
1.460	-1.858	2.363	-0.905
1.480	0.090	1.483	0.061
1.500	1.362	2.026	0.737
1.520	3.008	3.370	1.103
1.540	3.246	3.592	1.128
1.560	3.709	4.023	1.173
1.580	7.045	7.220	1.350
1.600	6.618	6.808	1.334
1.620	5.286	5.529	1.273
1.640	5.512	5.751	1.282
1.660	3.913	4.251	1.170
1.680	2.724	3.200	1.018
1.700	1.523	2.282	0.730
1.720	1.365	2.196	0.671
1.740	-0.869	1.945	-0.463
1.760	-1.140	2.097	-0.575
1.780	-2.970	3.463	-1.031
1.800	-2.764	3.299	-0.994
1.820	-5.015	5.335	-1.223
1.840	-6.056	6.329	-1.276
1.860	-5.369	5.682	-1.237
1.880	-4.105	4.515	-1.141
1.900	-5.087	5.431	-1.213
1.920	-2.129	2.867	-0.837
1.940	-3.529	4.027	-1.068
1.960	-1.677	2.580	-0.708
1.980	0.626	2.077	0.306
2.000	1.744	2.654	0.717
2.020	2.253	3.026	0.840
2.040	4.501	4.942	1.145
2.060	4.255	4.728	1.120
2.080	4.613	5.061	1.147
2.100	4.048	4.561	1.092
2.120	4.449	4.928	1.126
2.140	4.462	4.948	1.124
2.160	4.588	5.071	1.131
2.180	3.295	3.951	0.986
2.200	0.624	2.287	0.276
2.220	-0.272	2.237	-0.122
2.240	1.092	2.492	0.453
2.260	-1.162	2.541	-0.475
2.280	-2.247	3.201	-0.778
2.300	-2.972	3.758	-0.912
2.320	-5.022	5.532	-1.138
2.340	-5.207	5.709	-1.148
2.360	-4.948	5.482	-1.126
2.380	-4.701	5.269	-1.102
2.400	-2.992	3.836	-0.895
2.420	-2.345	3.370	-0.770
2.440	-1.755	3.006	-0.624
2.460	-1.342	2.802	-0.499
2.480	0.386	2.510	0.154
2.500	2.112	3.273	0.702
2.520	0.533	2.576	0.208
2.540	1.172	2.797	0.432
2.560	4.731	5.380	1.075
2.580	4.751	5.406	1.073
2.600	3.659	4.489	0.953
2.620	4.841	5.504	1.075
2.640	6.326	6.855	1.175
2.660	4.238	5.004	1.010
2.680	2.381	3.585	0.726
2.700	1.571	3.124	0.527
2.720	1.302	3.015	0.446
2.740	-1.238	3.007	-0.424
2.760	-1.401	3.095	-0.470
2.780	-2.709	3.882	-0.772
2.800	-3.781	4.705	-0.933
2.820	-6.208	6.819	-1.144
2.840	-5.285	6.000	-1.078
